,record_num,id,latitude,longitude,occupancy_status,current_status,bikes_allowed,headsign,bearing,current_stop_sequence,updated_at
695,696,y1834,42.36581865,-71.10436027,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,293.0,18,2024-07-25 12:11:47-04:00
696,697,y3286,42.37263781,-71.11630439,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,293.0,24,2024-07-25 12:12:01-04:00
697,698,y3272,42.34236057,-71.08438816,FULL,STOPPED_AT,1,Nubian,124.0,14,2024-07-25 12:12:00-04:00
698,699,y3264,42.34943535,-71.08884247,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,0.0,12,2024-07-25 12:11:59-04:00
699,700,y3263,42.3332,-71.0738,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,45.0,6,2024-07-25 12:11:38-04:00
700,701,y3237,42.33207,-71.08152,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,45.0,3,2024-07-25 12:12:00-04:00
701,702,y3204,42.33124463,-71.07695954,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,75.0,5,2024-07-25 12:12:02-04:00
702,703,y3202,42.36692155,-71.10625491,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,311.0,19,2024-07-25 12:12:02-04:00
703,704,y1834,42.36602,-71.10489,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,315.0,19,2024-07-25 12:11:59-04:00
704,705,y3286,42.37265872,-71.11648818,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Nubian,287.0,1,2024-07-25 12:12:08-04:00
705,706,y3272,42.34185375,-71.08363249,FULL,STOPPED_AT,1,Nubian,125.0,14,2024-07-25 12:12:08-04:00
706,707,y3264,42.34944,-71.08883,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,135.0,12,2024-07-25 12:12:07-04:00
707,708,y3263,42.3334251,-71.0734811,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,51.0,6,2024-07-25 12:12:08-04:00
708,709,y3237,42.3325144,-71.08131902,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,38.0,3,2024-07-25 12:12:08-04:00
709,710,y3204,42.33176402,-71.07608035,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,50.0,5,2024-07-25 12:12:10-04:00
710,711,y3202,42.36727735,-71.10688537,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,323.0,19,2024-07-25 12:12:10-04:00
711,712,y1834,42.3666233,-71.10565187,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,308.0,19,2024-07-25 12:12:10-04:00
712,713,y3286,42.37285605,-71.11706108,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Nubian,290.0,1,2024-07-25 12:12:23-04:00
